Id,Name,category,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music
25sny_QPRSFNxCPqu1oRqw,75 on Liberty Wharf,"American (New),Desserts,Breakfast & Brunch",$11-30,$11-30,,36,43,40,59,41,Yes,Full Bar,,No,,,Yes,"Street, Private Lot",,Yes,Yes,Yes,Free,,,Casual,Average,
T1wflZohQRZVb9SKQapfFA,Del Frisco’s Double Eagle Steakhouse,"Seafood,Steakhouses,American (Traditional)",Above $61,Above $61,,94,121,134,198,313,Yes,Full Bar,,No,,,Yes,Valet,,No,Yes,,No,,Upscale,Dressy,Average,
REmBxSRBi_FDgwsTnjl3hA,No Name Restaurant,Seafood,$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Street, Private Lot, Validated",,No,Yes,,No,,,Casual,Average,
et8Pwzjy2vjRhETAgEZ1Lg,Legal Harborside,"Seafood,American (Traditional),Wine Bars",$31-60,$31-60,,118,119,178,399,372,Yes,Full Bar,,No,,,Yes,"Valet, Garage, Street, Validated",,Yes,No,,No,,Trendy,Casual,Average,
h4Un3Tw0yKn7uCLseO7Bvg,Yankee Lobster,Seafood,$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,"Street, Private Lot",,Yes,No,Yes,Free,,Casual,Casual,Average,
lLPXuKq9jRU06teLRtUjpA,D’Parma Restaurant,Italian,$11-30,$11-30,,6,7,4,30,43,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
zvKfCAOBzVcxc1HLpoIY8A,Italian Express Pizzeria,"Italian,Pizza",$11-30,$11-30,,0,0,0,0,0,No,Beer & Wine Only,,Yes,,,Yes,Street,,Yes,Yes,,No,,Casual,Casual,Average,
wuiDoeKWClLrr2g2LSXA8w,KO Pies At the Shipyard,"Australian,Bars,Seafood",$11-30,$11-30,,5,12,16,79,153,Yes,Beer & Wine Only,,Yes,,No,Yes,,,Yes,No,,No,,Casual,Casual,Average,
bgV_tFbmVDKBxZni2my7XA,Mi Pueblito Restaurant,"Mexican,Salvadoran,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
OP0xCQM6ih4VEhl2t39Z-g,Rino’s Place,Italian,$11-30,$11-30,,66,31,60,147,441,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
yQL8SrSETbbCI1U5esVJQw,Ciao! Pizza & Pasta,"Italian,Pizza",$11-30,$11-30,,3,1,6,34,445,Yes,Beer & Wine Only,,No,,No,Yes,Private Lot,,Yes,No,Yes,No,,Casual,Casual,Average,
sUmsVV0RPP3Wx6MbWZKyIw,Legal Sea Foods,"Seafood,Breakfast & Brunch,Sandwiches",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Garage,,Yes,No,,Free,,Casual,,Average,
kF_0OkW9sTQQNIwQfbDE3Q,Chelsea Station Restaurant Bar & Lounge,"Lounges,American (New),Cocktail Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Street, Private Lot",,Yes,Yes,Yes,Free,,"Casual, Trendy, Classy",Casual,Average,
m2CNfH6HiwqgAW8JiFbqZQ,Abbondanza Ristorante,Italian,$11-30,$11-30,,7,4,11,14,27,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
tox6xX92Lws6IwFvVD8puQ,Mandarin Buffet,"Buffets,Chinese,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Private Lot,,Yes,No,,No,,Casual,Casual,Average,
BJXadWOLyGXzly7Iqx4W_g,El Potro Mexican Grill,"Mexican,Bars",$11-30,$11-30,,8,7,12,39,132,Yes,Full Bar,,Yes,,No,No,Private Lot,,Yes,No,Yes,Free,,Casual,Casual,Average,
lIDR_8ZuG7WvAaXaavreGg,Oliveira’s Restaurant,"Brazilian,Steakhouses,Lounges",$11-30,$11-30,,17,10,14,43,31,Yes,Full Bar,,Yes,,,No,"Valet, Garage, Street, Private Lot",,Yes,Yes,,Free,,Casual,Casual,Average,
eWzMs5B_Eht6i5zF0CrXFg,Nappi’s Restaurant,Italian,$11-30,$11-30,,0,0,0,0,0,No,No,,,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Very Loud,
3bkcl_O4A8jgvZNjf8GptQ,Shanghai Moon,"Japanese,Sports Bars,Chinese",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,Casual,Casual,Loud,Karaoke
4DJj4NtOHcnojgav5OyaOg,Sichuan Taste,"Seafood,Szechuan,Desserts",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,,,,No,,,Yes,Yes,,No,,Trendy,Casual,Average,
NsE1oIckP5CcmezF2UzMag,Tavolo,"Italian,Pizza,Pasta Shops",$11-30,$11-30,,13,30,26,68,47,Yes,Full Bar,,Yes,,,No,"Street, Private Lot",,Yes,Yes,,Free,,Casual,Casual,Average,
7hJ2pItzMoAJQKdvbAmdpw,Prime Pizza,"American (New),Seafood,American (Traditional)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,,,Yes,Yes,,No,,Classy,Casual,Quiet,
CRV5pbiOC_EXCqQrRZ98BA,The Blarney Stone,"Bars,American (New)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,,,,Free,,Casual,Casual,Average,
WGPQZMXwhFPgN6D_fk8t4Q,Burke’s Seafood,"Seafood,Seafood Markets,Fish & Chips",$11-30,$11-30,,8,11,14,62,131,Yes,Beer & Wine Only,,Yes,,,Yes,"Street, Private Lot",,Yes,No,,No,,Casual,Casual,Average,
x2C2q4DtrAWAIS6ZyJZjuA,Abby Park,"American (New),Salad,Breakfast & Brunch",$31-60,$31-60,,28,47,61,104,79,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,,Casual,Average,
zrCMsPgOciEc5wNbCpLI3Q,The Fat Cat,American (New),$11-30,$11-30,,101,110,181,489,512,Yes,Full Bar,,No,,,No,Street,,Yes,No,Yes,No,,Casual,Casual,Average,
6pNibxhQbAqQcEMr2Jy1Ew,Cagney’s Restaurant & Pub,"American (Traditional),Pubs",$11-30,$11-30,,25,18,16,29,55,Yes,Full Bar,,No,,,No,Street,,Yes,No,Yes,Free,,Casual,Casual,Average,Juke Box
4EcQBaxs-yxHRJjogbeFzQ,Gennaro’s Eatery,Italian,$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Private Lot,,Yes,No,,Free,,Casual,Casual,Average,
CmdVh1cYn536aa_1gjABDA,Webster’s Eatery,"Middle Eastern,Mediterranean",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Private Lot,,Yes,No,Yes,No,,Casual,Casual,Quiet,
8oofaDz2nL0gzvAXaLbR4w,Coop’s Bar & Grille,"Bars,Pizza,American (New)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Street, Private Lot",,Yes,Yes,,Free,,Casual,Casual,Average,Juke Box
qEZA-Vx-K3Snyn-tkQ3IJg,The Cheesecake Factory,"American (New),Desserts",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Private Lot,,Yes,No,,No,,Casual,Casual,Loud,
vPXrpTMN3Z4IjcX4ZbrlJQ,Bay Pointe Waterfront Restaurant,"American (Traditional),Seafood,American (New)",$11-30,$11-30,,43,43,40,56,61,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,Yes,,Free,,Casual,Casual,Average,
lE9lGJMmsjwW8XgPOV-Wlw,Adriatic,Mediterranean,$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,,,,Yes,,,Yes,Yes,,,,"Casual, Romantic",Casual,Average,
tC7u1XLE6kK31L809NfyUQ,Belle Isle Seafood,Seafood,$11-30,$11-30,,27,33,65,103,109,No,Beer & Wine Only,,No,,,Yes,Private Lot,,Yes,No,,No,,Casual,Casual,Average,
_S4j-74ZR4MUkWdiMlBoFQ,La Scala Restaurant,Italian,$11-30,$11-30,,29,15,30,53,44,No,Full Bar,,No,,,No,Private Lot,,Yes,Yes,,No,,Romantic,Casual,Average,
WLYDPoWGriHWtf4BmRVx2Q,Volare Restaurant and Bar,"Italian,Lounges",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,Background
vUpbLwBKL1YiOreQ7p6Vfw,Santorini,Seafood,$11-30,$11-30,,10,4,9,18,9,Yes,Beer & Wine Only,,No,,,Yes,Private Lot,,Yes,No,,No,,Casual,Casual,Average,
WRv36_xwynru5AFVEyCOkw,The Marina Restaurant & Bar At the Wharf,"Seafood,Bars,American (Traditional)",$11-30,$11-30,,7,11,12,36,88,Yes,Full Bar,,Yes,,,Yes,"Valet, Private Lot",,Yes,Yes,Yes,Free,,Casual,Casual,Average,
Z0K_lNlqzz-aUDbvexpD5A,Victor’s Italian Restaurant,Italian,$11-30,$11-30,,6,1,9,14,60,Yes,No,,Yes,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
h7OHsyPpUFz9V7oiQWKFnQ,Pho Bistro,"Vietnamese,Soup,Seafood",Under $10,Under $10,,0,0,0,0,0,Yes,No,,Yes,,,No,"Garage, Street",,Yes,Yes,Yes,Free,,Casual,Casual,Average,
tPY0JQVfAVEvVeDauJKEHg,Exchange Street Bistro,"American (New),Breakfast & Brunch,Lounges",$11-30,$11-30,,25,39,50,146,131,Yes,Full Bar,,Yes,,,No,"Garage, Street, Validated",,Yes,Yes,,No,,Trendy,Casual,Average,
qVoaL553iwP7fpt0Xr4Bdg,CAVA,Mediterranean,$11-30,$11-30,,2,1,1,8,22,Yes,,,,,,No,,,Yes,No,,No,,,,,
IFamp2iDylLbgkxN8WaG0A,Vico Ristorante Italiano,Italian,$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Private Lot,,Yes,Yes,Yes,No,,,Casual,Average,
2K1A9fEqmo-N2J6VEBXcDA,Hibachi Steak House,"Steakhouses,Japanese",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Private Lot,,Yes,Yes,,Free,,Casual,Casual,Average,
luDal00Gw3r-1KjI1454ZA,Sky,"American (New),Lounges",$31-60,$31-60,,18,25,28,58,45,Yes,Full Bar,,Yes,,,No,"Valet, Private Lot",,Yes,Yes,,Free,,Classy,Casual,Average,
YJJEptfpcPLsDY3zPCjpLg,Not Your Average Joe’s,American (New),$11-30,$11-30,,30,34,28,66,47,Yes,Full Bar,,Yes,,,No,Private Lot,,Yes,Yes,,Free,,"Casual, Trendy",Casual,Average,
757zI3bNk4CZ9cql3T6rbQ,Pho 98°C,"Vietnamese,Bars,Hot Pot",$11-30,$11-30,,4,10,15,46,98,Yes,Full Bar,,Yes,,,No,"Street, Private Lot",,Yes,Yes,Yes,Free,,Casual,Casual,Average,
xCKxmjueOoS5NBrOHuJ5Lg,Amelia’s,"Bars,Italian",$31-60,$31-60,,14,16,24,46,65,Yes,Full Bar,,Yes,,,No,Private Lot,,Yes,Yes,,No,,,Dressy,Average,Background
pUyPajqPzuN-hdQXW6T3dg,Maria’s Pizzeria,"Pizza,Italian,Salad",Under $10,Under $10,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Private Lot,,Yes,Yes,,Free,,Casual,Casual,Average,
YYWfxVRa9v-48Lehza2RYQ,Captain Marden’s Seafoods,"Seafood Markets,Seafood,Breakfast & Brunch",$11-30,$11-30,,0,0,0,0,0,Yes,No,,Yes,,,No,Private Lot,,Yes,No,Yes,Free,,Casual,Casual,Average,
KjmdwtRacEv1c0_w3Nmsdg,Bocado Tapas Wine Bar,"Tapas Bars,Spanish,Wine Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,Yes,Free,,,Casual,Average,Background
